Payment measure name,Payment,Value of care category
Payment for pneumonia patients,"$13,294 ",Better mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,937 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$22,133 ",Average mortality and average payment
Payment for heart failure patients,"$16,321 ",Worse mortality and average payment
Payment for hip/knee replacement patients,"$23,545 ",Average complications and average payment
Payment for pneumonia patients,"$15,882 ",Worse mortality and lower payment
Payment for hip/knee replacement patients,"$25,157 ",Average complications and average payment
Payment for pneumonia patients,"$17,560 ",Average mortality and average payment
Payment for heart failure patients,"$14,402 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$19,298 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$26,099 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,062 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$21,831 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,604 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,368 ",Average mortality and average payment
Payment for heart failure patients,"$15,938 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,090 ",Worse mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,533 ",Average mortality and average payment
Payment for heart failure patients,"$16,947 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$25,094 ",Average mortality and average payment
Payment for heart failure patients,"$16,171 ",Worse mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,502 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$13,274 ",Average mortality and lower payment
Payment for pneumonia patients,"$16,610 ",Average mortality and average payment
Payment for pneumonia patients,"$17,790 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,453 ",Average complications and average payment
Payment for pneumonia patients,"$17,454 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,092 ",Average mortality and lower payment
Payment for heart attack patients,"$24,120 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,691 ",Average complications and average payment
Payment for pneumonia patients,"$15,324 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,"$21,737 ",Average mortality and average payment
Payment for pneumonia patients,"$16,418 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,618 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$27,871 ",Average complications and higher payment
Payment for heart failure patients,"$16,180 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$18,348 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$14,899 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,132 ",Average complications and higher payment
Payment for pneumonia patients,"$17,508 ",Average mortality and average payment
Payment for heart failure patients,"$16,172 ",Average mortality and average payment
Payment for heart failure patients,"$16,028 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,480 ",Average mortality and average payment
Payment for pneumonia patients,"$16,524 ",Average mortality and average payment
Payment for pneumonia patients,"$15,658 ",Average mortality and average payment
Payment for heart attack patients,"$25,194 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$21,317 ",Average mortality and higher payment
Payment for heart failure patients,"$14,289 ",Average mortality and average payment
Payment for pneumonia patients,"$18,535 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$22,661 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,313 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$16,376 ",Average mortality and average payment
Payment for heart failure patients,"$18,099 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,490 ",Average complications and average payment
Payment for pneumonia patients,"$16,845 ",Average mortality and average payment
Payment for heart failure patients,"$16,950 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$25,171 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$24,085 ",Average mortality and average payment
Payment for heart failure patients,"$13,903 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$16,604 ",Average mortality and average payment
Payment for heart failure patients,"$15,641 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$18,187 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$25,374 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,086 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,709 ",Average mortality and lower payment
Payment for heart failure patients,"$16,337 ",Better mortality and average payment
Payment for pneumonia patients,"$19,910 ",Better mortality and higher payment
Payment for hip/knee replacement patients,"$26,390 ",Average complications and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,731 ",Average mortality and average payment
Payment for pneumonia patients,"$16,063 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,835 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$15,328 ",Average mortality and average payment
Payment for heart failure patients,"$14,745 ",Average mortality and average payment
Payment for heart failure patients,"$16,533 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
